Date,Open,High,Low,Close,Volume,Adj Close
2016-10-06,42.28,42.28,42.28,42.28,000,42.28
2016-10-05,42.28,42.28,42.28,42.28,000,42.28
2016-10-04,42.28,42.28,42.28,42.28,000,42.28
2016-10-03,42.28,42.28,42.28,42.28,000,42.28
2016-09-30,42.50,42.69,42.09,42.28,738300,42.28
2016-09-29,41.95,43.20,41.80,42.53,1735600,42.53
2016-09-28,41.60,41.97,41.59,41.93,623800,41.93
2016-09-27,41.52,41.97,41.04,41.68,455400,41.68
2016-09-26,41.82,42.29,41.50,41.52,685900,41.52
2016-09-23,41.70,42.15,41.62,41.99,766200,41.99
2016-09-22,42.51,42.70,41.65,41.70,1054500,41.70
2016-09-21,42.99,43.20,42.00,42.29,1544400,42.29
2016-09-20,42.11,42.30,41.88,42.01,497400,42.01
2016-09-19,40.98,42.18,40.72,42.10,939800,42.10
2016-09-16,40.97,40.97,40.97,40.97,000,40.97
2016-09-15,40.97,40.97,40.97,40.97,000,40.97
2016-09-14,41.29,41.36,40.90,40.97,590900,40.97
2016-09-13,41.11,41.54,40.82,41.30,740000,41.30
2016-09-12,40.17,41.48,40.01,41.06,1447400,41.06
2016-09-09,42.16,42.16,41.10,41.12,951500,41.12
2016-09-08,41.67,42.20,41.66,42.16,775400,42.16
2016-09-07,42.65,42.80,41.70,41.92,1400400,41.92
2016-09-06,42.30,42.55,41.46,42.39,1341300,42.39
2016-09-05,41.71,42.50,41.28,42.14,1502900,42.14
2016-09-02,40.78,41.64,40.48,41.53,1427500,41.53
2016-09-01,40.99,41.29,40.65,40.72,837200,40.72
2016-08-31,40.97,41.10,40.41,40.97,801500,40.97
2016-08-30,41.80,42.25,40.73,40.99,1573900,40.99
2016-08-29,42.35,42.35,41.61,41.71,924600,41.71
2016-08-26,42.28,42.53,41.80,42.17,581600,42.17
2016-08-25,42.30,42.30,41.20,42.12,1232200,42.12
2016-08-24,43.15,43.20,42.10,42.36,1357200,42.36
2016-08-23,42.70,43.29,42.25,43.14,2309500,43.14
2016-08-22,42.20,43.30,41.80,42.68,3422700,42.68
2016-08-19,42.18,42.80,41.60,41.99,1218500,41.99
2016-08-18,42.80,43.11,42.16,42.20,1464300,42.20
2016-08-17,42.91,43.15,42.13,42.84,1975900,42.84
